LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,2071,15-19,15,5,2025.274,1932.257,3957.531
840,United States of America,2071,15-19,15,5,11203.819,10766.162,21969.981
826,United Kingdom,2070,15-19,15,5,2026.532,1933.009,3959.541
840,United States of America,2070,15-19,15,5,11146.971,10709.493,21856.464
826,United Kingdom,2069,15-19,15,5,2036.15,1942.721,3978.871
840,United States of America,2069,15-19,15,5,11144.614,10710.44,21855.054
826,United Kingdom,2068,15-19,15,5,2043.158,1949.615,3992.773
840,United States of America,2068,15-19,15,5,11130.235,10697.97,21828.205
826,United Kingdom,2067,15-19,15,5,2047.136,1953.319,4000.455
840,United States of America,2067,15-19,15,5,11104.124,10672.855,21776.979
826,United Kingdom,2066,15-19,15,5,2047.955,1953.786,4001.741
840,United States of America,2066,15-19,15,5,11069.106,10638.058,21707.164
826,United Kingdom,2065,15-19,15,5,2046.252,1951.759,3998.011
840,United States of America,2065,15-19,15,5,11031.648,10600.012,21631.66
826,United Kingdom,2064,15-19,15,5,2051.439,1957.231,4008.67
840,United States of America,2064,15-19,15,5,11049.309,10620.587,21669.896
826,United Kingdom,2063,15-19,15,5,2052.988,1958.893,4011.881
840,United States of America,2063,15-19,15,5,11057.087,10629.712,21686.799
826,United Kingdom,2062,15-19,15,5,2050.724,1956.652,4007.376
840,United States of America,2062,15-19,15,5,11053.828,10626.525,21680.353
826,United Kingdom,2061,15-19,15,5,2044.797,1950.733,3995.53
840,United States of America,2061,15-19,15,5,11040.719,10612.465,21653.184
826,United Kingdom,2060,15-19,15,5,2036.081,1942.075,3978.156
840,United States of America,2060,15-19,15,5,11023.281,10593.376,21616.657
826,United Kingdom,2059,15-19,15,5,2033.568,1940.202,3973.77
840,United States of America,2059,15-19,15,5,11055.719,10628.491,21684.21
826,United Kingdom,2058,15-19,15,5,2027.225,1934.351,3961.576
840,United States of America,2058,15-19,15,5,11075.373,10649.186,21724.559
826,United Kingdom,2057,15-19,15,5,2017.752,1925.272,3943.024
840,United States of America,2057,15-19,15,5,11081.228,10654.836,21736.064
826,United Kingdom,2056,15-19,15,5,2006.482,1914.313,3920.795
840,United States of America,2056,15-19,15,5,11074.623,10647.046,21721.669
826,United Kingdom,2055,15-19,15,5,1994.988,1903.036,3898.024
