column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,1979,14-Oct,10,5,2395.024,2272.437,4667.461
840,United States of America,1979,14-Oct,10,5,9842.626,9128.202,18970.828
826,United Kingdom,1980,14-Oct,10,5,2348.295,2226.411,4574.706
840,United States of America,1980,14-Oct,10,5,9692.466,8916.537,18609.003
826,United Kingdom,1981,14-Oct,10,5,2285.909,2169.673,4455.582
840,United States of America,1981,14-Oct,10,5,9491.996,8759.643,18251.639
826,United Kingdom,1982,14-Oct,10,5,2211.33,2100.344,4311.674
840,United States of America,1982,14-Oct,10,5,9324.412,8634.032,17958.444
826,United Kingdom,1983,14-Oct,10,5,2129.321,2023.369,4152.69
840,United States of America,1983,14-Oct,10,5,9180.744,8534.948,17715.692
826,United Kingdom,1984,14-Oct,10,5,2047.261,1945.687,3992.948
840,United States of America,1984,14-Oct,10,5,9056.418,8453.069,17509.487
826,United Kingdom,1985,14-Oct,10,5,1971.469,1873.124,3844.593
840,United States of America,1985,14-Oct,10,5,8954.577,8382.332,17336.909
826,United Kingdom,1986,14-Oct,10,5,1903.903,1808.847,3712.75
840,United States of America,1986,14-Oct,10,5,8892.837,8355.422,17248.259
826,United Kingdom,1987,14-Oct,10,5,1846.266,1753.659,3599.925
840,United States of America,1987,14-Oct,10,5,8861.843,8355.268,17217.111
826,United Kingdom,1988,14-Oct,10,5,1797.562,1707.815,3505.377
840,United States of America,1988,14-Oct,10,5,8854.42,8379.255,17233.675
826,United Kingdom,1989,14-Oct,10,5,1760.629,1674.059,3434.688
840,United States of America,1989,14-Oct,10,5,8867.525,8425.199,17292.724
826,United Kingdom,1990,14-Oct,10,5,1741.172,1657.125,3398.297
840,United States of America,1990,14-Oct,10,5,8903.179,8491.003,17394.182
826,United Kingdom,1991,14-Oct,10,5,1736.04,1658.775,3394.815
840,United States of America,1991,14-Oct,10,5,9009.36,8594.458,17603.818
826,United Kingdom,1992,14-Oct,10,5,1750.788,1676.86,3427.648
840,United States of America,1992,14-Oct,10,5,9149.097,8726.562,17875.659
826,United Kingdom,1993,14-Oct,10,5,1781.457,1707.684,3489.141
840,United States of America,1993,14-Oct,10,5,9307.916,8880.899,18188.815
826,United Kingdom,1994,14-Oct,10,5,1818.833,1742.951,3561.784
840,United States of America,1994,14-Oct,10,5,9477,9049.135,18526.135
826,United Kingdom,1995,14-Oct,10,5,1854.433,1775.209,3629.642
840,United States of America,1995,14-Oct,10,5,9651.257,9221.144,18872.401
826,United Kingdom,1996,14-Oct,10,5,1880.362,1800.713,3681.075
840,United States of America,1996,14-Oct,10,5,9837.188,9388.998,19226.186
826,United Kingdom,1997,14-Oct,10,5,1904.809,1823.284,3728.093
840,United States of America,1997,14-Oct,10,5,10041.244,9572.485,19613.729
826,United Kingdom,1998,14-Oct,10,5,1929.444,1844.791,3774.235
840,United States of America,1998,14-Oct,10,5,10246.469,9763.754,20010.223
826,United Kingdom,1999,14-Oct,10,5,1953.679,1864.621,3818.3
840,United States of America,1999,14-Oct,10,5,10437.929,9950.059,20387.988
826,United Kingdom,1999,15-19,15,5,1812.667,1756.834,3569.501
840,United States of America,1999,15-19,15,5,10019.195,9532.242,19551.437
826,United Kingdom,1998,15-19,15,5,1779.777,1730.774,3510.551
840,United States of America,1998,15-19,15,5,9816.273,9349.176,19165.449
826,United Kingdom,1997,15-19,15,5,1748.634,1703.442,3452.076
840,United States of America,1997,15-19,15,5,9633.33,9172.436,18805.766
826,United Kingdom,1996,15-19,15,5,1728.348,1682.735,3411.083
840,United States of America,1996,15-19,15,5,9483.436,9016.624,18500.06
